Shortest Path 
 Pop : 50,123, g = 7.65685, rhs = 7.65685, h = 86
 Pop : 50,117, g = 13.6569, rhs = 13.6569, h = 80
 Pop : 45,90, g = 40.7279, rhs = 40.7279, h = 53
 Pop : 45,88, g = 42.7279, rhs = 42.7279, h = 51
 Pop : 45,83, g = 47.7279, rhs = 47.7279, h = 46
 Pop : 45,81, g = 49.7279, rhs = 49.7279, h = 44
 Pop : 49,126, g = 4.82843, rhs = 4.82843, h = 89
 Pop : 39,124, g = 6.82843, rhs = 6.82843, h = 87
 Pop : 39,123, g = 7.82843, rhs = 7.82843, h = 86
 Pop : 44,106, g = 24.8995, rhs = 24.8995, h = 69
 Pop : 40,126, g = 5, rhs = 5, h = 89
 Pop : 51,122, g = 9.07107, rhs = 9.07107, h = 85
 Pop : 51,116, g = 15.0711, rhs = 15.0711, h = 79
 Pop : 44,89, g = 42.1421, rhs = 42.1421, h = 52
 Pop : 44,87, g = 44.1421, rhs = 44.1421, h = 50
 Pop : 44,80, g = 51.1421, rhs = 51.1421, h = 43
 Pop : 48,73, g = 58.1421, rhs = 58.1421, h = 36
 Pop : 40,123, g = 8.24264, rhs = 8.24264, h = 86
 Pop : 38,123, g = 8.24264, rhs = 8.24264, h = 86
 Pop : 47,93, g = 38.3137, rhs = 38.3137, h = 56
 Pop : 39,125, g = 6.41421, rhs = 6.41421, h = 88
 Pop : 47,73, g = 58.5563, rhs = 58.5563, h = 36
 Pop : 44,107, g = 24.4853, rhs = 24.4853, h = 70
 Pop : 49,125, g = 6.65685, rhs = 6.65685, h = 88
 Pop : 41,122, g = 9.65685, rhs = 9.65685, h = 85
 Pop : 41,121, g = 10.6569, rhs = 10.6569, h = 84
 Pop : 41,120, g = 11.6569, rhs = 11.6569, h = 83
 Pop : 41,119, g = 12.6569, rhs = 12.6569, h = 82
 Pop : 41,118, g = 13.6569, rhs = 13.6569, h = 81
 Pop : 41,117, g = 14.6569, rhs = 14.6569, h = 80
 Pop : 41,116, g = 15.6569, rhs = 15.6569, h = 79
 Pop : 41,115, g = 16.6569, rhs = 16.6569, h = 78
 Pop : 41,114, g = 17.6569, rhs = 17.6569, h = 77
 Pop : 41,113, g = 18.6569, rhs = 18.6569, h = 76
 Pop : 41,112, g = 19.6569, rhs = 19.6569, h = 75
 Pop : 41,111, g = 20.6569, rhs = 20.6569, h = 74
 Pop : 41,110, g = 21.6569, rhs = 21.6569, h = 73
 Pop : 41,109, g = 22.6569, rhs = 22.6569, h = 72
 Pop : 41,108, g = 23.6569, rhs = 23.6569, h = 71
 Pop : 41,107, g = 24.6569, rhs = 24.6569, h = 70
 Pop : 41,106, g = 25.6569, rhs = 25.6569, h = 69
 Pop : 41,105, g = 26.6569, rhs = 26.6569, h = 68
 Pop : 41,104, g = 27.6569, rhs = 27.6569, h = 67
 Pop : 41,103, g = 28.6569, rhs = 28.6569, h = 66
 Pop : 46,92, g = 39.7279, rhs = 39.7279, h = 55
 Pop : 38,124, g = 7.82843, rhs = 7.82843, h = 87
 Pop : 50,126, g = 5.82843, rhs = 5.82843, h = 89
 Pop : 50,124, g = 8.07107, rhs = 8.07107, h = 87
 Pop : 42,121, g = 11.0711, rhs = 11.0711, h = 84
 Pop : 40,121, g = 11.0711, rhs = 11.0711, h = 84
 Pop : 40,120, g = 12.0711, rhs = 12.0711, h = 83
 Pop : 42,120, g = 12.0711, rhs = 12.0711, h = 83
 Pop : 40,119, g = 13.0711, rhs = 13.0711, h = 82
 Pop : 42,119, g = 13.0711, rhs = 13.0711, h = 82
 Pop : 42,118, g = 14.0711, rhs = 14.0711, h = 81
 Pop : 40,118, g = 14.0711, rhs = 14.0711, h = 81
 Pop : 42,117, g = 15.0711, rhs = 15.0711, h = 80
 Pop : 42,116, g = 16.0711, rhs = 16.0711, h = 79
 Pop : 42,115, g = 17.0711, rhs = 17.0711, h = 78
 Pop : 42,114, g = 18.0711, rhs = 18.0711, h = 77
 Pop : 42,113, g = 19.0711, rhs = 19.0711, h = 76
 Pop : 42,112, g = 20.0711, rhs = 20.0711, h = 75
 Pop : 42,111, g = 21.0711, rhs = 21.0711, h = 74
 Pop : 42,110, g = 22.0711, rhs = 22.0711, h = 73
 Pop : 42,109, g = 23.0711, rhs = 23.0711, h = 72
 Pop : 42,108, g = 24.0711, rhs = 24.0711, h = 71
 Pop : 42,107, g = 25.0711, rhs = 25.0711, h = 70
 Pop : 42,106, g = 26.0711, rhs = 26.0711, h = 69
 Pop : 42,105, g = 27.0711, rhs = 27.0711, h = 68
 Pop : 42,104, g = 28.0711, rhs = 28.0711, h = 67
 Pop : 42,103, g = 29.0711, rhs = 29.0711, h = 66
 Pop : 42,102, g = 30.0711, rhs = 30.0711, h = 65
 Pop : 42,101, g = 31.0711, rhs = 31.0711, h = 64
 Pop : 42,100, g = 32.0711, rhs = 32.0711, h = 63
 Pop : 42,99, g = 33.0711, rhs = 33.0711, h = 62
 Pop : 42,98, g = 34.0711, rhs = 34.0711, h = 61
 Pop : 42,97, g = 35.0711, rhs = 35.0711, h = 60
 Pop : 45,91, g = 41.1421, rhs = 41.1421, h = 54
 Pop : 45,84, g = 48.1421, rhs = 48.1421, h = 47
 Pop : 51,125, g = 7.24264, rhs = 7.24264, h = 88
 Pop : 37,123, g = 9.24264, rhs = 9.24264, h = 86
 Pop : 41,123, g = 9.24264, rhs = 9.24264, h = 86
 Pop : 46,93, g = 39.3137, rhs = 39.3137, h = 56
 Pop : 51,123, g = 9.48528, rhs = 9.48528, h = 86
 Pop : 39,120, g = 12.4853, rhs = 12.4853, h = 83
 Pop : 39,119, g = 13.4853, rhs = 13.4853, h = 82
 Pop : 39,118, g = 14.4853, rhs = 14.4853, h = 81
 Pop : 51,117, g = 15.4853, rhs = 15.4853, h = 80
 Pop : 45,108, g = 24.4853, rhs = 24.4853, h = 71
 Pop : 41,97, g = 35.4853, rhs = 35.4853, h = 60
 Pop : 41,96, g = 36.4853, rhs = 36.4853, h = 59
 Pop : 41,95, g = 37.4853, rhs = 37.4853, h = 58
 Pop : 41,94, g = 38.4853, rhs = 38.4853, h = 57
 Pop : 44,90, g = 42.5563, rhs = 42.5563, h = 53
 Pop : 44,81, g = 51.5563, rhs = 51.5563, h = 44
 Pop : 50,125, g = 7.65685, rhs = 7.65685, h = 88
 Pop : 42,122, g = 10.6569, rhs = 10.6569, h = 85
 Pop : 45,92, g = 40.7279, rhs = 40.7279, h = 55
 Pop : 51,126, g = 6.82843, rhs = 6.82843, h = 89
 Pop : 39,126, g = 6.82843, rhs = 6.82843, h = 89
 Pop : 44,108, g = 24.8995, rhs = 24.8995, h = 71
 Pop : 42,94, g = 38.8995, rhs = 38.8995, h = 57
 Pop : 42,93, g = 39.8995, rhs = 39.8995, h = 56
 Pop : 42,92, g = 40.8995, rhs = 40.8995, h = 55
 Pop : 42,91, g = 41.8995, rhs = 41.8995, h = 54
 Pop : 42,90, g = 42.8995, rhs = 42.8995, h = 53
 Pop : 42,89, g = 43.8995, rhs = 43.8995, h = 52
 Pop : 42,88, g = 44.8995, rhs = 44.8995, h = 51
 Pop : 42,87, g = 45.8995, rhs = 45.8995, h = 50
 Pop : 42,86, g = 46.8995, rhs = 46.8995, h = 49
 Pop : 42,85, g = 47.8995, rhs = 47.8995, h = 48
 Pop : 42,84, g = 48.8995, rhs = 48.8995, h = 47
 Pop : 42,83, g = 49.8995, rhs = 49.8995, h = 46
 Pop : 42,82, g = 50.8995, rhs = 50.8995, h = 45
 Pop : 42,81, g = 51.8995, rhs = 51.8995, h = 44
 Pop : 42,80, g = 52.8995, rhs = 52.8995, h = 43
 Pop : 42,79, g = 53.8995, rhs = 53.8995, h = 42
 Pop : 42,78, g = 54.8995, rhs = 54.8995, h = 41
 Pop : 38,119, g = 13.8995, rhs = 13.8995, h = 82
 Pop : 38,118, g = 14.8995, rhs = 14.8995, h = 81
 Pop : 51,124, g = 9.07107, rhs = 9.07107, h = 87
 Pop : 39,121, g = 12.0711, rhs = 12.0711, h = 84
 Pop : 44,91, g = 42.1421, rhs = 42.1421, h = 54
 Pop : 38,125, g = 8.24264, rhs = 8.24264, h = 88
 Pop : 36,123, g = 10.2426, rhs = 10.2426, h = 86
 Pop : 37,118, g = 15.3137, rhs = 15.3137, h = 81
 Pop : 41,92, g = 41.3137, rhs = 41.3137, h = 55
 Pop : 41,91, g = 42.3137, rhs = 42.3137, h = 54
 Pop : 41,90, g = 43.3137, rhs = 43.3137, h = 53
 Pop : 41,89, g = 44.3137, rhs = 44.3137, h = 52
 Pop : 41,88, g = 45.3137, rhs = 45.3137, h = 51
 Pop : 41,87, g = 46.3137, rhs = 46.3137, h = 50
 Pop : 41,86, g = 47.3137, rhs = 47.3137, h = 49
 Pop : 41,85, g = 48.3137, rhs = 48.3137, h = 48
 Pop : 41,84, g = 49.3137, rhs = 49.3137, h = 47
 Pop : 41,83, g = 50.3137, rhs = 50.3137, h = 46
 Pop : 41,82, g = 51.3137, rhs = 51.3137, h = 45
 Pop : 41,81, g = 52.3137, rhs = 52.3137, h = 44
 Pop : 41,80, g = 53.3137, rhs = 53.3137, h = 43
 Pop : 41,79, g = 54.3137, rhs = 54.3137, h = 42
 Pop : 41,78, g = 55.3137, rhs = 55.3137, h = 41
 Pop : 38,120, g = 13.4853, rhs = 13.4853, h = 83
 Pop : 37,124, g = 9.65685, rhs = 9.65685, h = 87
