
 Pop : 19,2, g = 15.4142, rhs = 15.4142, h = 9.79796 key :25.2122,15.4142
 Pop : 17,7, g = 15.4853, rhs = 15.4853, h = 9.74679 key :25.2321,15.4853
 Pop : 2,16, g = 15.8284, rhs = 15.8284, h = 9.43398 key :25.2624,15.8284
 Pop : 14,13, g = 16.1421, rhs = 16.1421, h = 9.21954 key :25.3617,16.1421
 Pop : 9,15, g = 16.0711, rhs = 16.0711, h = 9.32738 key :25.3984,16.0711
 Pop : 12,14, g = 16.3137, rhs = 16.3137, h = 9.16515 key :25.4789,16.3137
 Pop : 7,16, g = 16.2426, rhs = 16.2426, h = 9.27362 key :25.5163,16.2426
 Pop : 4,17, g = 16, rhs = 16, h = 9.53939 key :25.5394,16
 Pop : 17,8, g = 15.8995, rhs = 15.8995, h = 9.69536 key :25.5949,15.8995
 Pop : 18,6, g = 16.0711, rhs = 16.0711, h = 9.59166 key :25.6627,16.0711
 Pop : 19,1, g = 15.8284, rhs = 15.8284, h = 9.84886 key :25.6773,15.8284
 Pop : 16,11, g = 16.1421, rhs = 16.1421, h = 9.53939 key :25.6815,16.1421
 Pop : 17,9, g = 16.3137, rhs = 16.3137, h = 9.43398 key :25.7477,16.3137
 Pop : 15,13, g = 16.5563, rhs = 16.5563, h = 9.21954 key :25.7759,16.5563
 Pop : 19,3, g = 15.8284, rhs = 15.8284, h = 9.94987 key :25.7783,15.8284
 Pop : 3,17, g = 16.4142, rhs = 16.4142, h = 9.38083 key :25.795,16.4142
 Pop : 10,15, g = 16.4853, rhs = 16.4853, h = 9.32738 key :25.8127,16.4853
 Pop : 13,14, g = 16.7279, rhs = 16.7279, h = 9.16515 key :25.8931,16.7279
 Pop : 5,17, g = 16.4142, rhs = 16.4142, h = 9.48683 key :25.901,16.4142
 Pop : 1,16, g = 16.2426, rhs = 16.2426, h = 9.69536 key :25.938,16.2426
 Pop : 8,16, g = 16.6569, rhs = 16.6569, h = 9.32738 key :25.9842,16.6569
 Pop : 16,12, g = 16.5563, rhs = 16.5563, h = 9.48683 key :26.0432,16.5563
 Pop : 6,17, g = 16.8284, rhs = 16.8284, h = 9.21954 key :26.048,16.8284
 Pop : 17,10, g = 16.7279, rhs = 16.7279, h = 9.38083 key :26.1088,16.7279
 Pop : 19,4, g = 16.2426, rhs = 16.2426, h = 9.89949 key :26.1421,16.2426
 Pop : 16,13, g = 16.9706, rhs = 16.9706, h = 9.21954 key :26.1901,16.9706
 Pop : 20,2, g = 16.4142, rhs = 16.4142, h = 9.79796 key :26.2122,16.4142
 Pop : 11,15, g = 16.8995, rhs = 16.8995, h = 9.32738 key :26.2269,16.8995
 Pop : 18,7, g = 16.4853, rhs = 16.4853, h = 9.74679 key :26.2321,16.4853
 Pop : 2,17, g = 16.8284, rhs = 16.8284, h = 9.43398 key :26.2624,16.8284
 Pop : 19,5, g = 16.6569, rhs = 16.6569, h = 9.64365 key :26.3005,16.6569
 Pop : 14,14, g = 17.1421, rhs = 17.1421, h = 9.16515 key :26.3073,17.1421
 Pop : 9,16, g = 17.0711, rhs = 17.0711, h = 9.27362 key :26.3447,17.0711
 Pop : 7,17, g = 17.2426, rhs = 17.2426, h = 9.16515 key :26.4078,17.2426
 Pop : 4,18, g = 17, rhs = 17, h = 9.53939 key :26.5394,17
 Pop : 12,15, g = 17.3137, rhs = 17.3137, h = 9.32738 key :26.6411,17.3137
 Pop : 19,6, g = 17.0711, rhs = 17.0711, h = 9.59166 key :26.6627,17.0711
 Pop : 20,1, g = 16.8284, rhs = 16.8284, h = 9.84886 key :26.6773,16.8284
 Pop : 17,11, g = 17.1421, rhs = 17.1421, h = 9.53939 key :26.6815,17.1421
 Pop : 15,14, g = 17.5563, rhs = 17.5563, h = 9.16515 key :26.7215,17.5563
 Pop : 18,9, g = 17.3137, rhs = 17.3137, h = 9.43398 key :26.7477,17.3137
 Pop : 10,16, g = 17.4853, rhs = 17.4853, h = 9.27362 key :26.7589,17.4853
 Pop : 20,3, g = 16.8284, rhs = 16.8284, h = 9.94987 key :26.7783,16.8284
 Pop : 3,18, g = 17.4142, rhs = 17.4142, h = 9.38083 key :26.795,17.4142
 Pop : 5,18, g = 17.4142, rhs = 17.4142, h = 9.48683 key :26.901,17.4142
 Pop : 1,17, g = 17.2426, rhs = 17.2426, h = 9.69536 key :26.938,17.2426
 Pop : 8,17, g = 17.6569, rhs = 17.6569, h = 9.32738 key :26.9842,17.6569
 Pop : 17,12, g = 17.5563, rhs = 17.5563, h = 9.48683 key :27.0432,17.5563
 Pop : 6,18, g = 17.8284, rhs = 17.8284, h = 9.21954 key :27.048,17.8284
 Pop : 13,15, g = 17.7279, rhs = 17.7279, h = 9.32738 key :27.0553,17.7279
 Pop : 18,10, g = 17.7279, rhs = 17.7279, h = 9.38083 key :27.1088,17.7279
 Pop : 16,14, g = 17.9706, rhs = 17.9706, h = 9.16515 key :27.1357,17.9706
 Pop : 20,4, g = 17.2426, rhs = 17.2426, h = 9.89949 key :27.1421,17.2426
 Pop : 11,16, g = 17.8995, rhs = 17.8995, h = 9.27362 key :27.1731,17.8995
 Pop : 17,13, g = 17.9706, rhs = 17.9706, h = 9.21954 key :27.1901,17.9706
 Pop : 21,2, g = 17.4142, rhs = 17.4142, h = 9.79796 key :27.2122,17.4142
 Pop : 19,7, g = 17.4853, rhs = 17.4853, h = 9.74679 key :27.2321,17.4853
 Pop : 2,18, g = 17.8284, rhs = 17.8284, h = 9.43398 key :27.2624,17.8284
 Pop : 20,5, g = 17.6569, rhs = 17.6569, h = 9.64365 key :27.3005,17.6569
 Pop : 9,17, g = 18.0711, rhs = 18.0711, h = 9.27362 key :27.3447,18.0711
 Pop : 7,18, g = 18.2426, rhs = 18.2426, h = 9.16515 key :27.4078,18.2426
 Pop : 14,15, g = 18.1421, rhs = 18.1421, h = 9.32738 key :27.4695,18.1421
 Pop : 10,17, g = 18.4853, rhs = 18.4853, h = 9 key :27.4853,18.4853
 Pop : 17,14, g = 18.3848, rhs = 18.3848, h = 9.16515 key :27.5499,18.3848
 Pop : 12,16, g = 18.3137, rhs = 18.3137, h = 9.27362 key :27.5873,18.3137
 Pop : 19,8, g = 17.8995, rhs = 17.8995, h = 9.69536 key :27.5949,17.8995
 Pop : 20,6, g = 18.0711, rhs = 18.0711, h = 9.59166 key :27.6627,18.0711
